date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:59	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257ed1b41-800%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.eot	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.eot	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
12:32:59	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257ed1b41-800%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.eot?	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slickd41d.eot	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
12:33:00	1380/1380	---M--	200	added ('OK')	application/font-woff	etag:%2257ed1b41-564%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.woff	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.woff	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
12:33:00	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2257ed1b41-764%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.ttf	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.ttf	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
12:33:00	2152/2152	---M--	200	added ('OK')	image/svg+xml	etag:%2257ed1b41-868%22	http://themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.svg	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/slick/fonts/slick.svg	(from http://themes.beesoft.it/dollistraut-fashion/js/slick/slick.css)
12:33:00	1362/1362	---M--	200	added ('OK')	image/png	etag:%2257ed1b3e-552%22	http://themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_sprite.png	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_sprite.png	(from http://themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css)
12:33:01	3866/3866	---M--	200	added ('OK')	image/gif	etag:%2257ed1b3e-f1a%22	http://themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_loading.gif	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_loading.gif	(from http://themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css)
12:33:01	43/43	---M--	200	added ('OK')	image/gif	etag:%2257ed1b3e-2b%22	http://themes.beesoft.it/dollistraut-fashion/js/fancybox/blank.gif	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/fancybox/blank.gif	(from http://themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css)
12:33:01	1003/1003	---M--	200	added ('OK')	image/png	etag:%2257ed1b3e-3eb%22	http://themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_overlay.png	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/js/fancybox/fancybox_overlay.png	(from http://themes.beesoft.it/dollistraut-fashion/js/fancybox/jquery.fancybox.css)
12:33:02	29063/29063	---MCZ	200	added ('OK')	text/css	etag:W/%2257ed1b44-7187%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css	(from http://themes.beesoft.it/dollistraut-fashion/scss/style.css)
12:33:02	3828/3828	---M--	200	added ('OK')	image/png	etag:%2257dbff17-ef4%22	http://themes.beesoft.it/dollistraut-fashion/images/logos/bg-logo.png	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/images/logos/bg-logo.png	(from http://themes.beesoft.it/dollistraut-fashion/scss/style.css)
12:33:02	13171/13171	---M--	200	added ('OK')	image/gif	etag:%2257dbff19-3373%22	http://themes.beesoft.it/dollistraut-fashion/images/misc/loader.gif	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/images/misc/loader.gif	(from http://themes.beesoft.it/dollistraut-fashion/scss/style.css)
12:33:13	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257ed1b45-12ae6%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.eot	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
12:33:14	71896/71896	---M--	200	added ('OK')	application/octet-stream	etag:%2257ed1b46-118d8%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.woff2	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
12:33:15	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257ed1b45-12ae6%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfontd41d.eot	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
12:33:18	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%2257ed1b46-5f9c6%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.svg	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
12:33:19	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%2257ed1b46-1612c%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.woff	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
12:33:24	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%2257ed1b46-254dc%22	http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/Users/Aminsati/Desktop/jewel/themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.ttf	(from http://themes.beesoft.it/dollistraut-fashion/scss/font-awesome-4.6.3/css/font-awesome.min.css)
